final,even_vs_odd,major
0.91509434,odd,Economics
0.811320755,even,Other
0.905660377,even,Other
0.943396226,even,Other
0.877358491,odd,Economics
0.839622642,even,Economics
0.839622642,even,Other
0.773584906,odd,Other
0.801886793,even,Other
0.773584906,odd,Other
0.830188679,even,Other
0.641509434,odd,Economics
0.754716981,even,Economics
0.679245283,even,Economics
0.79245283,odd,Economics
0.679245283,even,Other
0.79245283,even,Other
0.688679245,even,Other
0.726415094,even,Other
0.632075472,odd,Other
0.641509434,even,Other
0.745283019,even,Other
0.735849057,even,Economics
0.745283019,even,Other
0.603773585,odd,Economics
0.481132076,odd,Other
0.433962264,odd,Other
0.386792453,even,Other
0.367924528,even,Other
0.330188679,odd,Other
